,Tên kho,Mã hàng,Tên hàng,ĐVT,Nhóm VTHH,Đơn giá cố định
,Hàng hóa,4281388,Oreo Bánh quy kem Vani 313.5grx12Hop,Hộp,KINH DO," 38,300 "
,Hàng hóa,4281721,COSY Bánh quy Marie 136gX24gói KM,Gói,KINH DO," 14,300 "
,Hàng hóa,4281726,Cosy Bánh quy Marie 192grx16Hop KM,Hộp,KINH DO," 21,000 "
,Hàng hóa,4281727,COSY Marie banh quy 240gr x 16T KM,Túi,KINH DO," 22,600 "
,Hàng hóa,4281728,COSY Marie banh quy 272grx16G KM,Gói,KINH DO," 26,000 "
,Hàng hóa,4281729,Cosy Bánh quy Marie 408grx12Goi KM,Gói,KINH DO," 36,000 "
,Hàng hóa,4281730,COSY Marie banh quy 336grx10H KM,Gói,KINH DO," 36,000 "
,Hàng hóa,4281733,COSY Marie banh quy 528grx8G KM,Gói,KINH DO," 47,200 "
,Hàng hóa,4281734,COSY bánh quế cam 135grx24goi,Gói,KINH DO," 11,500 "
,Hàng hóa,4281736,COSY bánh quế choco 135grx24goi,Gói,KINH DO," 11,500 "
,Hàng hóa,4281767,COSY bánh quế thập cẩm 135grx24goi,Gói,KINH DO," 11,500 "
,Hàng hóa,4281943,COSY Bánh quy Marie 136gX24gói,Gói,KINH DO," 14,300 "
,Hàng hóa,4281944,COSY Marie banh quy 272grx16G ,Gói,KINH DO," 26,000 "
,Hàng hóa,4281945,Cosy Bánh quy Marie 408grx12Goi,Gói,KINH DO," 36,000 "
,Hàng hóa,4281946,Cosy Bánh quy Marie 528grx8Goi,Gói,KINH DO," 49,000 "
,Hàng hóa,4282373,COSY Bánh quy Marie Dừa 136grX24gói,Gói,KINH DO," 14,300 "
,Hàng hóa,4282374,KD BMT Không Nhân Sữa 80grx45gói,Gói,TƯƠI KINH ĐÔ," 7,000 "
,Hàng hóa,4299263,Snack Cua Xanh 29grx60goi,Gói,KINH DO," 4,800 "
,Hàng hóa,4299348,KD BMT Ổ Dài Bơ Sữa 80grx70gói (DÀI SỮA),Gói,TƯƠI KINH ĐÔ," 7,000 "
,Hàng hóa,4299349,KD BMT Ổ Dài Socola 80grx70goi (DÀI SÔ),Gói,TƯƠI KINH ĐÔ," 7,000 "
,Hàng hóa,4300331,KD BMT Ổ Dài Khoai Môn 80grx70Gói (DÀI MÔN),Gói,TƯƠI KINH ĐÔ," 7,000 "
,Hàng hóa,4300974,OREO STRAWBERRY CREAM 24X119.6G VN TH	,Cây,KINH DO," 13,300 "
,Hàng hóa,4300978,Oreo VANILLA 24 X 119.6G VN TH,Cây,KINH DO," 13,300 "
,Hàng hóa,4300979,Oreo CHOCOLATE 24 X 119.6G VN TH,Cây,KINH DO," 13,300 "
,Hàng hóa,4300981,Oreo BBERRY IC 24 X 119.6G,Cây,KINH DO," 13,300 "
,Hàng hóa,4301021,GYS_TV Black&Gold Yến Sào 4Bx160g+Trà - 4301021,Hộp,MOON CAKES," 2,500,000 "
,Hàng hóa,4301022,HNHT-TV Hồng Ngọc Hưng Thịnh 6x80g - 4301022,Hộp,MOON CAKES," 560,000 "
,Hàng hóa,4301105,T6-Thu Tuyết - 6 Bánh - 4301105,Hộp,MOON CAKES," 480,000 "
,Hàng hóa,4301106,T3-Thu Tuyết - 3 Bánh - 4301106,Hộp,MOON CAKES," 280,000 "
,Hàng hóa,4301108,HNHP-TV Hồng Ngọc Hưng Phú 8Bx80g - 4301108,Hộp,MOON CAKES," 760,000 "
,Hàng hóa,4301431,COSY bánh quế Xoài Xí Muội 126grx24goi,Gói,KINH DO," 11,500 "
,Hàng hóa,4301510,Solite tròn kem bơ sữa 288grx10H,Hộp,KINH DO," 42,000 "
,Hàng hóa,4301511,Solite tròn kem bơ sữa 144gx12H,KHAY,KINH DO," 22,000 "
,Hàng hóa,4302120,COSY BANH QUE CHOCO 126GX24 GOI,Gói,KINH DO," 11,500 "
,Hàng hóa,4302121,COSY BANH QUE DUA 126GX24 GOI,Gói,KINH DO," 11,500 "
,Hàng hóa,4302122,COSY BANH QUE DAU 126GX24 GOI,Gói,KINH DO," 11,500 "
,Hàng hóa,4302166,COSY bánh quế thập cẩm 126grx24goi,Gói,KINH DO," 11,500 "
,Hàng hóa,4302350,OREO PIE SOCOLA DAU 360grx8Hop,Hộp,KINH DO," 52,000 "
,Hàng hóa,4303404,HOP QUA TET HAMPER I X 6H TET23 ( 727.2 G ),Hộp,TET," 145,000 "
,Hàng hóa,4303497,OREO VANILLA RED PPB 303.6G X 12HOP,Hộp,TET," 38,300 "
,Hàng hóa,4303499,COSY BANH QUE THAP CAM TET 378GX8HOP,Hộp,TET," 46,000 "
,Hàng hóa,4303501,HOP QUA TET HAMPER V X 8HOP (748G),Hộp,TET," 115,000 "
,Hàng hóa,4303502,HOP QUA TET HAMPER III X3HOP (1369.3 ),Hộp,TET," 255,000 "
,Hàng hóa,4303503,HOP QUA TET HAMPER II X 3HOP ( 1081G ),Hộp,TET," 25,000 "
,Hàng hóa,4303508,AFC TC 375GR X 10H HG LUC GIAC TET23,Hộp,TET," 85,000 "
,Hàng hóa,4303509,OREO PIE CHOCO&DAU 480GRX10H TET23,Hộp,TET," 93,000 "
,Hàng hóa,4303510,OREO SELECTION 331.2GX10 VN TET23,Hộp,TET," 128,000 "
,Hàng hóa,4303511,SOLITE TET BLTANG DAU+ CAM 238GX10,Hộp,TET," 52,000 "
,Hàng hóa,4303933,KD BMT SIEU MEM SOCOLA 55GR X 60G ( MỀM SÔ ),Gói,TƯƠI KINH ĐÔ," 5,700 "
,Hàng hóa,4303934,KD SW CHA BONG 50GR X 80G ( LÁT CB ),Gói,TƯƠI KINH ĐÔ," 4,700 "
,Hàng hóa,4303936,KD BMT SIEU MEM BO SUA 55GR X 60G ( MỀM SỮA ),Gói,TƯƠI KINH ĐÔ," 5,700 "
,Hàng hóa,4303939,KD BMT O DAI BO SUA 80GR X 50G ( DÀI BƠ ),Gói,TƯƠI KINH ĐÔ," 7,000 "
,Hàng hóa,4303940,KD BMT O DAI SOCOLA 80GR X 50G ( DÀI SÔ ),Gói,TƯƠI KINH ĐÔ," 7,000 "
,Hàng hóa,4303941,KD BMT O DAI KHOAI MON 80GR X 50G ( DÀI MÔN),Gói,TƯƠI KINH ĐÔ," 7,000 "
,Hàng hóa,4303942,KD BMT 3 MUI BO SUA 90GR X 30G ( 3 MÚI SỮA ),Gói,TƯƠI KINH ĐÔ," 6,800 "
,Hàng hóa,4303945,KD BMT LA DUA 40GR X 90G (DỨA),Gói,TƯƠI KINH ĐÔ," 3,200 "
,Hàng hóa,4304159,KD SW BO DAU PHONG 40GR X 80G( LÁT ĐẬU),Gói,TƯƠI KINH ĐÔ," 3,920 "
,Hàng hóa,4304161,KD BMT TRON XE NHAN BO 70GR X 50G,Gói,TƯƠI KINH ĐÔ," 8,000 "
,Hàng hóa,4304162,KD BMT CHA BONG 80GR X 30G,Gói,TƯƠI KINH ĐÔ," 8,540 "
,Hàng hóa,4304164,KD BMT O KHONG NHAN SUA 80GR x 40G,Gói,TƯƠI KINH ĐÔ," 7,000 "
,Hàng hóa,4304165,KD BMT SOT PIZZA XX PHO MAI 70GR X 40G,Gói,TƯƠI KINH ĐÔ," 8,830 "
,Hàng hóa,4304166,KD BMT GA XOT THAI CAY 60GR X 60		,Gói,TƯƠI KINH ĐÔ," 9,000 "
,Hàng hóa,4304167,KD BBL HAT SOCOLA 50GR X 80G ( LAN SÔ),Gói,TƯƠI KINH ĐÔ," 5,200 "
,Hàng hóa,4304738,KD BBL TRON CAM 50GR X 80 G (LAN CAM),Gói,TƯƠI KINH ĐÔ," 5,200 "
,Hàng hóa,45BK1,Quạt đứng CN,Cái,ABA," 161,606 "
,Hàng hóa,45M1,Quạt treo,Cái,ABA," 155,545 "
,Hàng hóa,45M10,Nồi Nhôm có nắp 32cm,Bộ,ABA," 132,323 "
,Hàng hóa,45M2,Thau 5T3 - Aba 4.5 kg,Cái,ABA," 35,555 "
,Hàng hóa,45M3,Lau nhà inox,Bộ,ABA," 132,323 "
,Hàng hóa,45M7,Sọt O3 - Aba 4.5 kg,Cái,ABA," 25,252 "
,Hàng hóa,5B120103151,5k-Poca Bò lúc lắc x 80 gói,Gói,POCA," 3,700 "
,Hàng hóa,5B120132151,5k-Poca Bắp ngọt x 80 gói,Gói,POCA," 3,700 "
,Hàng hóa,5B120139167,5k-Poca Bí đỏ x 80 gói,Gói,POCA," 3,700 "
,Hàng hóa,5G120124151,5k-Poca Gà Quay x 80 gói,Gói,POCA," 3,700 "
,Hàng hóa,5M120118151,5k-Poca Mực lăn x 80 gói,Gói,POCA," 3,700 "
,Hàng hóa,5M12013683,5k-Poca Mực cay ĐB x 80 gói,Gói,POCA," 3,700 "
,Hàng hóa,5PT120501121,5k-Poca Phồng Tôm x 80 gói,Gói,POCA," 3,700 "
,Hàng hóa,5Q120137160,5k-Poca Que giòn BBQ x 80 gói,Gói,POCA," 3,700 "
,Hàng hóa,5Q120138160,5k-Poca Que Phô mai x 80 gói,Gói,POCA," 3,700 "
,Hàng hóa,5T120102151,5k-Poca Tôm Hùm x 80 gói,Gói,POCA," 3,700 "
,Hàng hóa,6139010,BE XỊT KHOÁNG 100ML+ XỊT KHOÁNG 30ML,Chai,Bio Essence," 150,500 "
,Hàng hóa,6139011,HOP QUA KEM DUONG VITAMIN B5 GEL + 1 MINI,Hộp,Bio Essence," 382,000 "
,Hàng hóa,6139012,HOP QUA TINH CHAT VITAMIN B5 GEL +2MINI,Hộp,Bio Essence," 528,000 "
,Hàng hóa,6139013,BIO HOP QUA KEM DUONG GOLD+30ML GOLD,Hộp,Bio Essence," 456,000 "
,Hàng hóa,6139014,BIO HOP QUA KEM DUONG GOLD DEM+30ML ROSE,Hộp,Bio Essence," 456,000 "
,Hàng hóa,6139015,BIO KEM NÂNG CƠ VLIFT 450G+ SRM 100G,Hộp,Bio Essence," 457,000 "
,Hàng hóa,6139016,BIO GEL TAY TBC RENEW 60G+BIO SRM WATER 30G,Hộp,Bio Essence," 237,500 "
,Hàng hóa,6139017,BIOKEM BIRD'S NEST 50G+T.CHAT BIRD'S NEST 5G,Hộp,Bio Essence," 374,500 "
,Hàng hóa,6139018,BIO KEM C.NANG WATER 40ML+T TRANG WATER 30G,Hộp,Bio Essence," 179,000 "
,Hàng hóa,6139019, Bio Water B5 Foamy Cleanser 100g+ TẨY TRANG 30G,Tuýp,Bio Essence," 136,000 "
,Hàng hóa,6139020,BIO T.TRANG WATER 100G+ SRM WATER 30G,Chai,Bio Essence," 87,500 "
,Hàng hóa,6139021,BIO GEL DUONG WATER 50G+SRM WATER 30G,Hủ,Bio Essence," 382,000 "
,Hàng hóa,6139022,BIO WATER SRM 30G+T.TRA 30G+XIT 30ML+T.CH 5ML,Hộp,Bio Essence," 160,000 "
,Hàng hóa,6139023,Bio-essence Box 3 gold Rose gold Water 30ml,Hộp,Bio Essence," 290,000 "
,Hàng hóa,65/30cc,mì 3 miền chua cay 65g,Thùng,, 0 
,Hàng hóa,6B123039028,6k-Lays Thăn bò x 160 gói,Gói,POCA," 5,000 "
,Hàng hóa,6G123048017,6k-Lays Gà Cay HQ x 160 gói,Gói,POCA," 5,000 "
,Hàng hóa,6H23002024,6k-Lays Tôm Trứng muối Hkx160 gói,Gói,POCA," 5,000 "
,Hàng hóa,6H33013025T,6k-Lays Tôm hải sản  x 30 gói Thái,Thùng,POCA," 144,000 "
,Hàng hóa,6KM3,Thau inox 5t,Cái,ABA," 88,000 "
,Hàng hóa,6M123035024,6k-Lays Phô mai x 160 gói,Gói,POCA," 5,000 "
,Hàng hóa,6N123020024,6k-Lays Tự nhiên x 160 gói,Gói,POCA," 5,000 "
,Hàng hóa,6N123020024T,6k-Lays Tự nhiên x 30 gói Thái,Thùng,POCA," 144,000 "
,Hàng hóa,6N123050017,6k-Lays Muối nguyên bản x 160 gói,Gói,POCA," 5,000 "
,Hàng hóa,6S123013024,6k-Lays Sườn BBQ x 160 gói,Gói,POCA," 5,000 "
,Hàng hóa,6S123013024T,6k-Lays Sườn BBQ x 30 gói Thái,Thùng,POCA," 144,000 "
,Hàng hóa,6T123041024,6k-Lays Tảo biển x 160 gói,Gói,POCA," 5,000 "
,Hàng hóa,6T133013024T,6k-Lays Tảo x 30 gói Thái,Thùng,POCA," 144,000 "
,Hàng hóa,6X123047172,6k-Lays Cua sốt XO x 160 gói,Gói,POCA," 5,000 "
,Hàng hóa,7BG,Bếp Gas,Cái,ABA," 120,192 "
,Hàng hóa,8936199810033,CÀ PHÊ SỮA ĐÁ (10 GÓI X 22G)  ( 32 hộp/thùng),Hộp,CF," 33,684 "
,Hàng hóa,8936199810033-1/1,CÀ PHÊ SỮA ĐÁ (10 GÓI X 22G)  ( 32 hộp/thùng)1/1,Hộp,CF," 20,000 "
,Hàng hóa,8936199810064,CÀ PHÊ SỮA ĐÁ MILK COFFEE 180ML (24lon/thùng),Lon,CF," 9,545 "
,Hàng hóa,8936199810088,CÀ PHÊ HOÀ TAN SỮA ĐÁ TCH  (16 túi/ thùng),Túi,CF," 75,789 "
,Hàng hóa,8936199810200,CÀ PHÊ HÒA TAN ĐẬM VỊ  ( 24h/thùng),Hộp,CF," 37,053 "
,Hàng hóa,8936199810200-1/1,CÀ PHÊ HÒA TAN ĐẬM VỊ  ( 24h/thùng)(1/1),Hộp,CF," 22,000 "
,Hàng hóa,8938541439152,TRÀ TÚI LỌC OOLONG TEAROMA HỘP 40G ( 36 hộp/thùng),Hộp,CF," 21,435 "
,Hàng hóa,8938541439169,TRÀ TÚI LỌC SEN TEAROMA HỘP 40G( 36 hộp/thùng),Hộp,CF," 21,435 "
,Hàng hóa,8938541439176,TRÀ TÚI LỌC LÀI TEAROMA HỘP 40G( 36 hộp/thùng),Hộp,CF," 21,435 "
,Hàng hóa,8938541439183,TRÀ TÚI LỌC ĐÀO TEAROMA HỘP 40G ( 36 hộp/thùng),Hộp,CF," 21,435 "
,Hàng hóa,8KM5,Rổ gạo 2T8 - Aba 800g,Cái,ABA," 3,502 "
,Hàng hóa,8KM9,Thau 2T6 - Aba 800g,Cái,ABA," 3,502 "
,Hàng hóa,9879,Milo 180ml*48,Thùng,SI," 288,000 "
,Hàng hóa,9880,Milo 180ml*48 ( HÀNG IN KẸP ÍT ĐƯỜNG),Thùng,SI," 288,000 "
,Hàng hóa,9881,Nest cafe 2in1 bịch việt 16gr (12 túi/ thùng),Gói,SI," 97,000 "
,Hàng hóa,9882,Nest cafe 3 in1 bịch Đỏ 16gr (12 túi/ thùng),Gói,SI," 100,000 "
,Hàng hóa,A100363569,Axo Xanh duong 400Ml,Chai,DKSH," 20,347 "
,Hàng hóa,A100363570,Axo Hong 400Ml,Chai,DKSH," 20,347 "
,Hàng hóa,A100363571,Axo Xanh lá 400ML,Chai,DKSH," 20,347 "
,Hàng hóa,A100363572,Axo Xanh Duong 800Ml,Chai,DKSH," 37,940 "
,Hàng hóa,A100363573,Axo Hồng 800ML,Chai,DKSH," 37,940 "
,Hàng hóa,A100363574,Axo Xanh La 800Ml,Chai,DKSH," 37,940 "
,Hàng hóa,A100508716,Axo Tím 400Ml,Chai,DKSH," 20,347 "
,Hàng hóa,A100508717,Axo Tím 800Ml,Chai,DKSH," 37,940 "
,Hàng hóa,A100508718,AXO Trắng Thanh Khiết 800ml,Chai,DKSH," 40,942 "
,Hàng hóa,A100569931,Axo Hồng 1.8L,Chai,DKSH," 78,780 "
,Hàng hóa,A15,"Aba 1,5 kg*9 4 giảm 15%",Gói,ABA," 51,425 "
,Hàng hóa,A26,Aba 2.6kg*4,Gói,ABA," 103,028 "
,Hàng hóa,A31,Aba 3kg*4 6/1,Gói,ABA," 103,971 "
,Hàng hóa,A33,Aba 3kg (giặt máy)*4 6/1,Gói,ABA," 106,080 "
,Hàng hóa,A360,Aba 360gr*36 6/1,Gói,ABA," 15,690 "
,Hàng hóa,A400,Aba 400gr*36 6/1,Gói,ABA," 15,690 "
,Hàng hóa,A411,"Aba NH 4,1kg*3 6/1",Gói,ABA," 142,460 "
,Hàng hóa,A451,"Aba 4,5 kg*3 6/1",Gói,ABA," 142,460 "
,Hàng hóa,A55,"Aba 5,5 kg*3",Gói,ABA," 186,833 "
,Hàng hóa,A6,Aba 6kg*3 5/1,Gói,ABA," 186,833 "
,Hàng hóa,A720,Aba 720gr*18 6/1,Gói,ABA," 30,257 "
,Hàng hóa,A81,Aba 800gr*18 6/1,Gói,ABA," 30,257 "
,Hàng hóa,AN19H,Túi nước giặt Aba Hồng 1.9kg,Túi,ABA," 91,800 "
,Hàng hóa,AN19V,Túi nước giặt Aba Vàng 1.9kg,Túi,ABA," 91,800 "
,Hàng hóa,AN27,Nước giặt Aba 2.75L Đỏ 5/1,Chai,ABA," 108,333 "
,Hàng hóa,AN271,Nước giặt Aba 2.75L Xanh 5/1,Chai,ABA," 108,333 "
,Hàng hóa,AN36,Túi nước giặt Aba Vàng 3.6kg,Túi,ABA," 141,500 "
,Hàng hóa,AN36H,Túi nước giặt Aba Hồng 3.6kg,Túi,ABA," 141,500 "
,Hàng hóa,Aomua,Áo Mưa,Cái,LOC PHAT, 0 
,Hàng hóa,Aomua1,Rửa tay gel 90ml,Cái,DKSH, 0 
,Hàng hóa,B101034016,BCS One True Fit 3pcs-Xanh lá,Hộp,DKSH," 27,015 "
,Hàng hóa,B101034017,BCS One Super Sensitive 3pcs-Xanh dương,Hộp,DKSH," 39,900 "
,Hàng hóa,B101034019,BCS One Super Studs 3pcs-Cam,Hộp,DKSH," 43,890 "
,Hàng hóa,B101034060,BCS One Mixed Pleasure 3pcs-Tím,Hộp,DKSH," 45,980 "
,Hàng hóa,BCT,Nước bon cha tắc 500ml,Thùng,SI," 170,000 "
,Hàng hóa,BK23,Nước giặt Binky Hồng 2.3Lx4,Túi,ABA," 62,000 "
,Hàng hóa,BK231,Nước giặt Binky Xanh 2.3Lx4,Túi,ABA," 62,000 "
,Hàng hóa,BK24,BG Binky 2.4Kg*4 12/1,Gói,ABA," 53,000 "
,Hàng hóa,BK311,Nước giặt Binky 3.1Lx4 Hồng,Túi,ABA," 78,000 "
,Hàng hóa,BK312,Nước giặt Binky 3.1Lx4 Xanh,Túi,ABA," 78,000 "
,Hàng hóa,BK36,Nước giặt Binky 3.6kg Xanh,Chai,ABA," 95,000 "
,Hàng hóa,BK361,Nước giặt Binky 3.6kg Hồng,Chai,ABA," 95,000 "
,Hàng hóa,BK43,BG Binky 4.3 kg*3 6/1,Gói,ABA," 102,857 "
,Hàng hóa,BK560,Binky 560g*18 5/1,Gói,ABA," 13,333 "
,Hàng hóa,BK6,BG Binky 5.7kg*3 5/1,Gói,ABA," 132,000 "
,Hàng hóa,BONG70M,Bông  Puffme ép biên dạng túi 70 miếng-27.000 đ,Bao,YAHON," 27,000 "
,Hàng hóa,BONG90M,Bông Poppuff 2 CD 90+ 30 miếng:21.000 đ,Bao,YAHON," 21,000 "
,Hàng hóa,CĐXT,Lộc Phát- Cháo Sườn Hầm Đ.Xanh 50gx50gói/thùng,Thùng,LOC PHAT," 250,000 "
,Hàng hóa,CHINO,Mì Chinnoo không gia vị túi kiếng ( 12 túi/thùng),Túi,SASIN," 86,667 "
,Hàng hóa,CHINO1,Mì Chinnoo bò cay ( 12 túi/thùng),Túi,SASIN," 86,667 "
,Hàng hóa,CKIDT,Lộc Phát- Cháo YẾN  KID IQ 50gx30g/thùng,Thùng,LOC PHAT," 205,600 "
,Hàng hóa,CST25,Lộc Phát- Cháo YẾN  ST25  60gramx30gói/thùng,Thùng,LOC PHAT," 208,300 "
,Hàng hóa,CTB1,Lộc Phát- Cháo Thịt bằm 50gx50gói/thùng,Thùng,LOC PHAT," 130,200 "
,Hàng hóa,CTBT,Lộc Phát- Cháo Thịt bằm 50gx53gói/thùng,Thùng,LOC PHAT," 138,000 "
,Hàng hóa,CYCT,Lộc Phát- Cháo YẾN chay nấm hương50gx30g/thùng,Thùng,LOC PHAT," 192,857 "
,Hàng hóa,CYLDXT,Lộc Phát-Cháo Sườn Hầm Ly 50gx24ly/thùng,Thùng,LOC PHAT," 160,000 "
,Hàng hóa,CYLTBT,Lộc Phát-Cháo Yến Ly 50gx24ly/thùng,Thùng,LOC PHAT," 213,400 "
,Hàng hóa,CYLTBT1,Lộc Phát-Cháo Thịt Bằm Ly 50gx24Ly/thùng,Thùng,LOC PHAT," 110,800 "
,Hàng hóa,CYTB,Lộc Phát- Cháo YẾN  50gx30gói/thùng,Gói,LOC PHAT," 6,657 "
,Hàng hóa,CYTBT,Lộc Phát- Cháo YẾN  50gx30gói/thùng,Thùng,LOC PHAT," 199,200 "
,Hàng hóa,CYTBTV,Lộc Phát- Cháo Yến Vàng 50gx30gói/thùng ,Thùng,LOC PHAT," 187,500 "
,Hàng hóa,D100794127,Devondale Sữa bột 1Kg x 8 gói ,Gói,DKSH," 214,002 "
,Hàng hóa,D100965027,Devondale FullCream Xanh 6x200ml,Thùng,DKSH," 244,110 "
,Hàng hóa,D100965028,Devondale FullCream Xanh 1Lx10,Thùng,DKSH," 353,380 "
,Hàng hóa,D100965029,Sữa Devondale Fullcream 2L x 6 hộp,Hộp,DKSH," 61,690 "
,Hàng hóa,D100965030,Sữa Devondale Fullcream Dâu 6x200ml,Thùng,DKSH," 266,400 "
,Hàng hóa,D120201135,5k-Poca Đậu phô mai x 6 dây,Dây 10,POCA," 36,000 "
,Hàng hóa,D120206135,5k-Poca Đậu cốt dừa x 6 dây,Dây 10,POCA," 36,000 "
,Hàng hóa,D120210016,5k-Poca Đậu mực cay x 6 dây,Dây 10,POCA," 36,000 "
,Hàng hóa,D130206136,10k-Poca Đậu cốt dừa 90g x 4 lốc10,Lốc 10,POCA," 70,000 "
,Hàng hóa,D130206137,10k-Poca Đậu phô mai 90g x 4 lốc10,Lốc 10,POCA," 70,000 "
,Hàng hóa,D130206426,10k-Poca Đậu mực cay 80g x 4 lốc10,Lốc 10,POCA," 70,000 "
,Hàng hóa,DG1,DG Dây Ramus 12 gói x 120,Dây,ABA," 4,364 "
,Hàng hóa,EBNAU,Kem Biona Nâu,Hộp,ABA," 7,000 "
,Hàng hóa,EBNGH,Kem Biona Nghệ,Hộp,ABA," 12,000 "
,Hàng hóa,EKEN,Kem bôi da Kentax 10%,Hộp,ABA," 8,000 "
,Hàng hóa,ELOT,Keo lột E100 lớn,Tuýp,ABA," 16,286 "
,Hàng hóa,EMAX,Bi Max,Hộp,ABA," 11,500 "
,Hàng hóa,EMUN,Kem E100 Nghệ,Hộp,ABA," 12,600 "
,Hàng hóa,ERE1,Kem Reenax trị mụn,Hộp,ABA," 32,400 "
,Hàng hóa,ETIN,Kem bôi da Tinecol 10%,Hộp,ABA," 6,200 "
,Hàng hóa,ETOM,Kem bôi da Tomax,Hộp,ABA," 6,800 "
,Hàng hóa,EUPRE,Dưỡng tay,Tuýp,ABA," 18,000 "
,Hàng hóa,G100363575,Green Cross RT Táo 100ML,Chai,DKSH," 19,312 "
,Hàng hóa,G100363576,Green Cross RT Tự nhiên 100ML,Chai,DKSH," 19,312 "
,Hàng hóa,G100363577,Green Cross RT Trà Xanh 100ML,Chai,DKSH," 19,312 "
,Hàng hóa,G100363578,Green Cross RT Dứa Táo 250ML,Chai,DKSH," 33,541 "
,Hàng hóa,G100363579,Green Cross RT Tự Nhiên 250ML,Chai,DKSH," 33,541 "
,Hàng hóa,G100363580,Green Cross RT Trà Xanh 250ML,Chai,DKSH," 33,541 "
,Hàng hóa,G100395687,Green Cross Xịt Dứa Táo 70ML,Chai,DKSH," 24,090 "
,Hàng hóa,G100395688,Green Cross Xịt Tự nhiên 70ML,Chai,DKSH," 24,090 "
,Hàng hóa,G100395689,Green Cross Xịt Trà Xanh 70ML,Chai,DKSH," 24,090 "
,Hàng hóa,G100395700,Green Cross GEL Dứa Táo 100ML,Chai,DKSH," 29,476 "
,Hàng hóa,G100395701,Green Cross GEL Tự nhiên 100ML,Chai,DKSH," 29,476 "
,Hàng hóa,G100395702,Green Cross GEL Trà xanh 100ML,Chai,DKSH," 29,476 "
,Hàng hóa,G100472642,Green Cross Xịt A2 Xanh Fresh 500ML,Chai,DKSH," 49,050 "
,Hàng hóa,G100533313,Green Cross Xịt A2 Cam Summer 500ML,Chai,DKSH," 49,050 "
,Hàng hóa,G100760039,Gatsby Kem Dưỡng Tóc 125g,Hũ,DKSH," 20,020 "
,Hàng hóa,G100760110,GATSBY Gel Mềm Tím 170g,Tuýp,DKSH," 29,816 "
,Hàng hóa,G100811359,Greencross DD 500ml,Chai,DKSH," 78,000 "
,Hàng hóa,G100885871, GATSBY MOVING RUBBER GM XAM 80G-JP ,Hũ,DKSH, 0 
,Hàng hóa,G100885872,Gatsby SH Gel Siêu cứng 200g,Tuýp,," 84,700 "
,Hàng hóa,G100885874,GB Khăn ướt BODY ICE CITRUS 30 tờ,Gói,DKSH," 77,920 "
,Hàng hóa,G100908621i,Gatsby Gel Tối Ưu Đen 170G,Tuyp,DKSH," 29,816 "
,Hàng hóa,G100922273,Gatsby Pomade Classy Dry Xám 75G,Hộp,DKSH," 54,378 "
,Hàng hóa,G100922274i,Gatsby Pomade Perfect Raise Đen 75G,Hộp,DKSH," 54,378 "
,Hàng hóa,G100922275,Gatsby Pomade Retro Xám 75G,Hộp,DKSH," 54,378 "
,Hàng hóa,G10092228,Gatsby NH Xịt Bạc 150ml,Chai,, 0 
,Hàng hóa,G10092229,Gatsby Nước hoa EDT Platinum,Chai,," 87,491 "
,Hàng hóa,G100938396,GATSBY Gel Cứng Xanh 170G,Tuýp,DKSH," 29,816 "
,Hàng hóa,G100938397,Gatsby Gel Siêu cứng Vàng 170G,Tuyp,DKSH," 29,816 "
,Hàng hóa,G101006032,Gatsby Wax H&F Xanh 75G,Hũ,DKSH," 47,000 "
,Hàng hóa,G101006033,Gatsby Wax M&H Đen 75G,Hũ,DKSH," 47,000 "
,Hàng hóa,G101006034,Gatsby Wax P&S Đỏ 75G,Hũ,DKSH," 47,000 "
,Hàng hóa,G101006035,Gatsby Wax 25g,Hũ,DKSH," 23,100 "
,Hàng hóa,G101006037,GATSBY Keo xịt Siêu Cứng 250ML,Chai,DKSH," 70,640 "
,Hàng hóa,G101006039,Gatsby Keo xịt EH 66ml,Chai,DKSH, 0 
,Hàng hóa,G101109117,Gatsby SRM Strong Clear Foam 130g,Tuýp,DKSH," 48,164 "
,Hàng hóa,G101109119,Gatsby SRM Perfect Scrub 130g,Tuýp,DKSH," 48,164 "
,Hàng hóa,GDNN,Giấy Đa năng nhỏ lốc 6 + 1 Hộp để bàn: 48.500 đ,Lốc,YAHON," 48,500 "
,Hàng hóa,GHKM,Khăn giấy hộp Let-Green không mùi: 17.200 đ  (5/1),Hộp,YAHON," 14,333 "
,Hàng hóa,HLBD220,Hà Lan Bịch đường 220ml*48,Thùng,SI," 235,000 "
,Hàng hóa,HLBKD220,Hà Lan Bịch Không Đường 220ml*48,Thùng,SI," 235,000 "
,Hàng hóa,HLH,HL Hồng,Hộp,ABA," 9,600 "
,Hàng hóa,HLH22,Hà Lan Hộp Đường 180ml*48,Thùng,SI," 280,000 "
,Hàng hóa,I100925797,ST. IVES ST Yến mạch & Bơ 473ML,Chai,DKSH," 100,495 "
,Hàng hóa,I100925798,ST. IVES ST Hương mơ 473ML,Chai,DKSH," 100,495 "
,Hàng hóa,I100925799,ST. Ives ST Muối Biển 473ML,Chai,DKSH," 100,495 "
,Hàng hóa,I100925800,ST. IVES ST Cam Chanh 473ML,Chai,DKSH," 100,495 "
,Hàng hóa,I100925802,ST. IVES ST Yến mạch&Bơ 650ML,Chai,DKSH," 122,815 "
,Hàng hóa,I100925803,ST. IVES ST Muối biển 650ml,Chai,DKSH," 122,815 "
